District,Rainfall_2023_mm,Normal_Rainfall_mm,Extraction_Status,TDS/EC_Level,Nitrate_Status,Fluoride_Status,PH,TDS_mg_L,Calcium_mg_L,Magnesium_mg_L,Chloride_mg_L,Nitrate_mg_L,Fluoride_mg_L
Dang,2432.0,2239.3,Saline,Moderate,Above Limit,Within Limit,7.86,1194,90.6,41.7,399,120.0,0.89
Amreli,676.5,713.2,Semi-Critical,Low,Within Limit,Within Limit,7.73,480,52.5,38.3,132,29.3,0.98
Ahmedabad,665.4,708.8,Safe,Moderate,Within Limit,Within Limit,7.01,680,64.7,45.9,281,9.6,1.35
Surat,1730.5,1658.2,Safe,High,Within Limit,Within Limit,7.09,2467,84.4,40.3,786,33.8,0.77
Vadodara,796.7,920.5,Safe,Very High,Within Limit,Within Limit,7.45,3471,131.6,92.9,956,23.9,0.5
Rajkot,815.7,665.1,Over-Exploited,High,Within Limit,Above Limit,8.04,2939,108.6,59.2,775,20.9,1.54
Gandhinagar,712.1,589.7,Saline,High,Within Limit,Within Limit,7.23,2310,86.0,39.8,693,21.2,0.37
Bhavnagar,560.1,585.2,Safe,High,Within Limit,Within Limit,7.3,2178,73.5,59.0,573,2.3,0.77
Jamnagar,660.7,608.5,Safe,High,Within Limit,Within Limit,7.85,2426,103.1,49.8,862,21.0,0.81
Junagadh,920.0,898.2,Safe,Moderate,Within Limit,Within Limit,7.17,734,63.7,40.5,190,11.3,0.85
Kutch,430.0,339.8,Safe,Low,Within Limit,Within Limit,7.84,163,88.2,2.0,63,14.9,0.34
Banaskantha,377.8,461.1,Semi-Critical,High,Within Limit,Within Limit,7.77,2289,131.2,75.2,532,13.1,1.07
Patan,513.4,467.0,Safe,Moderate,Above Limit,Within Limit,7.25,693,88.1,47.1,194,50.6,0.42
Mehsana,620.3,578.7,Safe,Moderate,Within Limit,Above Limit,7.53,664,48.3,53.8,201,13.2,1.5
Sabarkantha,549.8,662.4,Over-Exploited,Moderate,Above Limit,Within Limit,7.64,689,48.2,66.7,56,77.7,0.91
Aravalli,695.2,744.2,Safe,Moderate,Within Limit,Within Limit,7.38,1016,102.4,47.0,316,15.0,0.77
Anand,664.6,818.5,Saline,Moderate,Within Limit,Within Limit,7.7,1274,88.9,46.4,370,26.4,0.58
Kheda,750.9,733.3,Safe,Low,Within Limit,Within Limit,7.56,445,34.8,52.1,199,24.5,1.44
Panchmahal,1133.7,1022.1,Safe,Low,Within Limit,Within Limit,6.89,265,52.8,34.4,158,11.2,0.89
Dahod,955.0,1034.5,Semi-Critical,Low,Within Limit,Above Limit,7.03,344,39.8,20.5,220,9.4,3.5
Bharuch,1166.8,1142.8,Safe,Low,Within Limit,Above Limit,7.68,478,58.0,39.0,374,18.5,1.59
Narmada,1124.4,1129.7,Critical,High,Within Limit,Within Limit,7.15,2315,142.5,75.3,584,33.2,1.43
Tapi,1380.4,1678.8,Safe,Moderate,Within Limit,Within Limit,7.3,517,68.9,47.1,194,6.9,1.0
Navsari,1993.4,1881.4,Over-Exploited,High,Within Limit,Within Limit,7.73,2575,120.7,67.6,561,28.2,0.91
Valsad,1753.5,2040.7,Safe,Low,Within Limit,Within Limit,7.82,418,67.6,46.5,157,20.5,1.4
Botad,621.4,614.2,Safe,Moderate,Above Limit,Within Limit,7.23,606,65.9,42.4,163,54.6,0.47
Chhota Udaipur,1026.6,1083.8,Safe,High,Within Limit,Within Limit,7.48,1906,118.8,36.3,548,40.7,0.84
Devbhoomi Dwarka,634.5,673.3,Safe,High,Above Limit,Within Limit,8.32,1864,90.0,51.3,632,70.8,0.58
Gir Somnath,929.8,965.0,Over-Exploited,Moderate,Within Limit,Above Limit,7.03,766,55.2,30.0,239,24.1,2.03
Morbi,603.9,530.1,Safe,Moderate,Within Limit,Within Limit,7.38,704,87.6,23.7,256,22.8,1.08
Porbandar,911.8,715.4,Safe,Moderate,Above Limit,Above Limit,7.19,546,58.5,29.9,135,51.8,1.88
Mahisagar,810.5,906.2,Over-Exploited,High,Above Limit,Above Limit,7.18,1899,110.6,61.5,403,69.0,2.35
Surendranagar,540.3,569.4,Safe,Moderate,Within Limit,Within Limit,7.53,950,92.2,74.4,273,10.6,0.35
Dang,2069.9,2078.2,Safe,High,Above Limit,Within Limit,7.19,2348,111.4,65.0,732,120.0,0.58
Amreli,757.4,673.9,Safe,Moderate,Above Limit,Within Limit,8.14,1204,95.8,42.7,398,48.6,1.31
Ahmedabad,769.4,678.7,Safe,High,Above Limit,Within Limit,7.95,1614,105.2,51.7,465,52.5,0.49
Surat,1474.2,1543.0,Safe,Moderate,Within Limit,Within Limit,7.91,814,80.1,42.9,145,36.3,1.18
Vadodara,1024.8,1058.6,Over-Exploited,High,Within Limit,Within Limit,7.5,1674,125.0,53.7,491,32.5,0.89
Rajkot,631.7,616.2,Safe,High,Within Limit,Within Limit,6.99,1524,93.1,42.4,526,5.9,0.57
Gandhinagar,825.4,700.1,Safe,Moderate,Within Limit,Within Limit,7.18,769,113.0,19.8,66,28.4,0.59
Bhavnagar,652.1,598.9,Safe,Moderate,Within Limit,Above Limit,7.17,926,52.9,57.0,334,18.5,2.42
Jamnagar,452.1,566.5,Safe,Moderate,Within Limit,Above Limit,7.38,528,75.4,34.3,210,7.3,1.9
Junagadh,1016.9,894.0,Safe,Moderate,Above Limit,Within Limit,7.58,983,91.0,51.5,347,57.9,0.9
Kutch,373.0,378.4,Safe,High,Within Limit,Within Limit,7.13,1898,134.0,57.9,410,22.2,0.53
Banaskantha,493.1,542.0,Safe,Moderate,Within Limit,Within Limit,6.64,612,63.2,2.8,76,36.7,1.28
Patan,475.6,538.4,Safe,Moderate,Within Limit,Within Limit,7.4,777,52.4,64.2,315,16.8,0.81
Mehsana,416.8,559.7,Safe,Moderate,Within Limit,Within Limit,7.13,690,53.8,36.1,366,33.4,0.57
Sabarkantha,842.5,730.5,Safe,Moderate,Within Limit,Within Limit,7.42,1393,74.9,61.4,430,40.9,1.17
Aravalli,764.8,813.0,Safe,High,Within Limit,Within Limit,7.48,1763,136.8,46.1,630,23.4,0.54
Anand,742.1,771.0,Safe,Moderate,Above Limit,Within Limit,7.61,1032,69.2,45.1,479,79.7,1.04
Kheda,793.1,782.3,Safe,Moderate,Within Limit,Within Limit,6.99,1156,78.0,22.3,371,33.6,0.6
Panchmahal,880.6,1015.4,Over-Exploited,Moderate,Above Limit,Within Limit,7.49,721,95.4,66.1,194,47.4,0.78
Dahod,1199.9,1085.0,Safe,Moderate,Within Limit,Within Limit,6.77,1183,113.2,68.4,296,27.5,1.08
Bharuch,1051.1,1122.6,Safe,Moderate,Within Limit,Within Limit,7.39,535,94.1,46.2,154,37.1,0.14
Narmada,1053.9,1314.9,Semi-Critical,Moderate,Within Limit,Within Limit,6.95,644,47.0,57.1,173,26.4,0.78
Tapi,1675.0,1660.4,Safe,Low,Above Limit,Within Limit,7.8,370,57.5,12.2,108,66.4,1.33
Navsari,1683.7,1753.5,Safe,Moderate,Within Limit,Within Limit,8.23,660,80.8,46.3,297,24.2,0.68
Valsad,1954.4,1970.5,Safe,Moderate,Within Limit,Within Limit,7.69,782,76.7,52.7,239,21.3,0.24
Botad,711.8,685.8,Safe,Moderate,Within Limit,Within Limit,6.24,1456,130.9,49.7,503,8.7,1.16
Chhota Udaipur,927.6,1008.7,Semi-Critical,High,Within Limit,Within Limit,7.32,2523,114.8,80.9,720,22.6,1.0
Devbhoomi Dwarka,735.8,740.2,Safe,Moderate,Within Limit,Above Limit,7.82,903,100.2,61.3,327,8.0,2.13
Gir Somnath,942.3,904.5,Safe,Moderate,Above Limit,Within Limit,7.37,509,76.8,42.5,211,72.7,1.05
Morbi,640.1,567.8,Safe,High,Above Limit,Within Limit,6.91,1633,104.6,65.0,434,60.1,0.73
Porbandar,692.9,706.7,Safe,Moderate,Within Limit,Within Limit,6.96,808,47.3,66.0,184,9.0,0.22
Mahisagar,748.9,901.0,Critical,High,Within Limit,Within Limit,7.8,2143,89.1,95.9,664,15.4,0.18
Surendranagar,610.3,714.5,Saline,Moderate,Within Limit,Within Limit,7.81,1098,130.8,67.2,370,32.2,1.33
Dang,2396.8,2326.5,Safe,Moderate,Within Limit,Within Limit,7.37,852,62.0,38.6,127,18.5,0.44
Amreli,655.5,641.1,Safe,High,Within Limit,Within Limit,7.77,1844,65.5,42.8,586,9.1,0.7
Ahmedabad,598.9,681.2,Safe,Moderate,Within Limit,Within Limit,6.87,852,65.0,47.6,136,28.4,0.79
Surat,1603.6,1564.5,Safe,High,Within Limit,Within Limit,7.45,1814,87.7,59.0,547,20.8,0.82
Vadodara,775.6,848.5,Safe,Low,Within Limit,Within Limit,8.1,345,42.0,24.8,79,40.9,0.67
Rajkot,652.7,706.5,Semi-Critical,Moderate,Within Limit,Within Limit,7.07,946,121.8,26.4,311,33.2,1.03
Gandhinagar,659.7,670.1,Saline,High,Within Limit,Within Limit,7.34,2555,130.4,101.5,644,6.7,0.76
Bhavnagar,718.7,779.0,Safe,High,Within Limit,Within Limit,8.07,2139,91.7,70.6,715,14.8,0.71
Jamnagar,514.8,590.9,Over-Exploited,Moderate,Within Limit,Within Limit,6.91,1084,82.4,34.7,340,5.8,0.98
Junagadh,741.8,961.1,Critical,Moderate,Within Limit,Within Limit,7.89,1001,55.8,70.1,334,11.4,0.77
Kutch,376.9,372.3,Semi-Critical,Moderate,Within Limit,Within Limit,7.03,1105,85.5,25.4,317,9.7,0.51
Banaskantha,643.7,561.8,Semi-Critical,Moderate,Above Limit,Within Limit,6.96,1153,76.7,65.5,350,120.0,1.01
Patan,508.2,528.3,Safe,Moderate,Within Limit,Within Limit,7.34,867,91.5,57.4,204,6.9,0.27
Mehsana,496.5,573.7,Safe,Low,Within Limit,Within Limit,7.56,220,114.3,33.2,172,21.4,0.75
Sabarkantha,725.8,749.0,Safe,Moderate,Within Limit,Within Limit,7.53,939,65.4,59.0,271,10.9,1.1
Aravalli,698.6,696.1,Semi-Critical,Moderate,Above Limit,Within Limit,7.83,796,85.4,41.6,314,60.8,1.12
Anand,682.6,800.6,Safe,Low,Within Limit,Within Limit,7.28,422,56.3,33.5,160,30.6,0.77
Kheda,815.0,809.2,Safe,Low,Above Limit,Above Limit,7.02,245,62.0,15.5,159,68.1,1.66
Panchmahal,1048.3,884.3,Saline,High,Within Limit,Within Limit,7.27,2693,101.6,65.9,692,22.9,0.88
Dahod,1157.1,1100.3,Safe,High,Within Limit,Within Limit,7.78,1634,63.0,16.2,533,6.7,0.7
Bharuch,764.3,998.6,Safe,Moderate,Within Limit,Within Limit,7.7,1107,70.6,7.7,283,27.4,0.33
Narmada,1216.0,1218.3,Safe,Moderate,Within Limit,Within Limit,7.45,1133,63.2,64.9,320,19.6,0.46
Tapi,1375.7,1543.9,Safe,Moderate,Within Limit,Within Limit,8.08,721,47.0,16.6,348,16.9,0.54
Navsari,1817.5,1938.7,Safe,High,Within Limit,Within Limit,7.67,2393,98.1,98.3,600,36.2,0.96
Valsad,2546.6,2195.3,Safe,Moderate,Within Limit,Within Limit,7.1,816,85.5,32.1,415,22.3,0.64
Botad,548.2,649.2,Saline,High,Above Limit,Within Limit,7.88,1538,77.6,37.4,477,51.6,1.23
Chhota Udaipur,1087.9,1186.3,Safe,Low,Within Limit,Within Limit,8.0,341,60.4,31.4,241,31.2,1.05
Devbhoomi Dwarka,680.0,728.3,Safe,Moderate,Within Limit,Above Limit,7.42,1396,93.3,73.9,440,30.8,1.52
Gir Somnath,864.7,969.6,Safe,Low,Within Limit,Within Limit,6.61,427,109.7,19.9,139,16.0,0.96
Morbi,685.3,620.8,Safe,Moderate,Within Limit,Within Limit,7.33,564,76.9,34.7,320,29.6,1.24
Porbandar,829.2,735.4,Safe,Moderate,Within Limit,Above Limit,6.88,892,85.8,33.6,231,32.0,1.68
Mahisagar,987.1,951.6,Saline,Very High,Within Limit,Within Limit,7.5,5856,229.1,126.3,1373,36.5,1.01
Surendranagar,715.0,664.5,Safe,Moderate,Within Limit,Above Limit,6.91,736,70.5,28.3,188,32.0,2.18
Dang,1966.8,2265.8,Semi-Critical,Moderate,Within Limit,Within Limit,7.88,1045,68.7,43.7,312,10.7,1.18
Amreli,727.1,693.5,Safe,Low,Within Limit,Within Limit,7.23,470,83.8,31.5,306,14.5,0.92
Ahmedabad,582.3,702.8,Safe,Low,Within Limit,Within Limit,6.79,278,90.8,25.9,324,12.7,0.89
Surat,2031.0,1679.9,Saline,Very High,Within Limit,Within Limit,7.88,6000,200.5,128.9,1612,12.9,0.49
Vadodara,881.0,899.8,Safe,Moderate,Within Limit,Within Limit,7.68,610,91.3,40.5,321,8.0,0.71
Rajkot,452.4,601.8,Safe,Moderate,Above Limit,Above Limit,7.35,761,105.5,50.9,158,88.1,1.66
Gandhinagar,692.9,711.0,Safe,Low,Within Limit,Within Limit,7.25,450,90.8,65.0,286,13.5,0.41
Bhavnagar,524.4,657.0,Safe,Moderate,Within Limit,Within Limit,7.34,971,70.1,20.6,334,13.1,0.4
Jamnagar,474.3,476.4,Safe,High,Within Limit,Within Limit,8.06,2317,97.2,55.7,667,9.0,0.96
Junagadh,1091.1,956.2,Safe,Moderate,Within Limit,Within Limit,7.32,753,57.5,28.9,220,26.8,1.38
Kutch,407.4,317.9,Over-Exploited,Moderate,Within Limit,Within Limit,7.39,1310,71.3,13.3,448,36.1,0.68
Banaskantha,542.0,503.3,Saline,Moderate,Within Limit,Within Limit,7.19,1145,98.8,28.4,360,6.8,1.06
Patan,413.5,518.5,Semi-Critical,High,Within Limit,Within Limit,7.11,1609,76.0,57.1,544,8.9,0.83
Mehsana,618.5,570.0,Safe,Moderate,Within Limit,Within Limit,7.25,889,61.2,44.6,187,1.9,1.04
Sabarkantha,559.2,748.2,Over-Exploited,Moderate,Within Limit,Above Limit,7.65,905,119.3,43.9,218,17.3,1.83
Aravalli,639.3,711.2,Safe,Moderate,Within Limit,Within Limit,7.02,599,74.4,63.4,226,16.3,0.67
Anand,785.7,706.2,Safe,Moderate,Within Limit,Above Limit,7.33,763,139.1,45.9,181,14.2,1.59
Kheda,657.4,786.8,Safe,Moderate,Above Limit,Within Limit,7.13,1389,125.2,67.0,361,55.7,0.83
Panchmahal,1015.9,962.5,Safe,Low,Within Limit,Within Limit,7.14,481,90.2,32.2,138,9.3,1.03
Dahod,1140.0,1278.8,Safe,Moderate,Within Limit,Within Limit,7.96,812,74.6,49.0,168,28.2,0.72
Bharuch,1339.8,1185.4,Safe,Very High,Within Limit,Within Limit,7.63,3783,142.2,89.7,968,26.2,0.67
Narmada,1414.5,1216.8,Safe,Low,Within Limit,Above Limit,7.86,437,95.1,34.8,10,12.3,1.74
Tapi,1407.2,1597.1,Over-Exploited,Moderate,Within Limit,Within Limit,7.74,1165,94.2,43.9,312,14.6,0.46
Navsari,1950.9,2015.4,Semi-Critical,High,Within Limit,Within Limit,8.01,1661,113.2,48.4,497,19.6,0.47
Valsad,1783.4,2048.7,Safe,High,Within Limit,Within Limit,7.21,1631,96.7,58.7,437,32.0,0.6
Botad,582.6,683.6,Safe,Moderate,Within Limit,Within Limit,8.18,863,57.3,32.8,307,23.1,0.99
Chhota Udaipur,1224.9,1142.4,Safe,High,Within Limit,Within Limit,7.56,1557,86.3,63.4,591,18.0,0.45
Devbhoomi Dwarka,666.3,675.4,Safe,Low,Within Limit,Within Limit,7.74,217,53.6,31.9,131,23.3,1.22
Gir Somnath,1027.8,963.7,Safe,Moderate,Within Limit,Within Limit,7.7,685,86.0,26.2,308,13.0,1.3
Morbi,736.2,598.4,Saline,High,Within Limit,Within Limit,7.26,2236,104.3,59.0,673,5.5,0.43
Porbandar,719.1,643.1,Saline,Very High,Within Limit,Within Limit,7.36,5880,174.2,119.3,1613,9.5,0.92
Mahisagar,1082.4,1024.8,Safe,Moderate,Within Limit,Within Limit,7.8,896,23.9,53.6,222,4.6,1.09
Surendranagar,658.4,668.7,Safe,Moderate,Within Limit,Within Limit,8.04,1417,114.6,75.9,464,21.2,0.31
Dang,1948.2,2159.0,Over-Exploited,Very High,Above Limit,Within Limit,7.33,4441,151.3,104.9,1164,77.6,0.55
Amreli,651.0,710.4,Critical,Low,Within Limit,Within Limit,7.16,362,66.5,29.0,85,6.5,0.76
Ahmedabad,629.3,564.7,Safe,Moderate,Above Limit,Within Limit,6.82,841,70.6,31.3,286,58.4,0.26
Surat,1485.4,1513.4,Safe,Moderate,Above Limit,Within Limit,7.49,1197,68.9,43.2,286,47.3,0.81
Vadodara,1032.7,1039.4,Safe,Moderate,Within Limit,Within Limit,6.79,523,34.4,14.1,202,30.0,0.31
Rajkot,649.1,687.7,Safe,Moderate,Within Limit,Within Limit,8.04,874,95.4,39.1,197,3.6,0.52
Gandhinagar,589.8,668.7,Safe,Moderate,Within Limit,Within Limit,7.43,739,70.3,31.3,248,28.5,0.42
Bhavnagar,713.2,720.5,Safe,Moderate,Within Limit,Within Limit,7.68,809,80.8,56.4,275,12.3,0.99
Jamnagar,571.0,562.8,Safe,Moderate,Within Limit,Within Limit,7.32,784,73.1,13.5,202,21.5,0.88
Junagadh,963.9,824.6,Semi-Critical,Low,Within Limit,Within Limit,7.79,476,78.1,27.4,311,7.7,1.39
Kutch,349.8,390.0,Safe,High,Within Limit,Within Limit,7.3,1845,102.7,61.6,500,38.3,1.29
Banaskantha,510.4,412.6,Safe,Low,Within Limit,Within Limit,7.81,295,88.4,18.1,91,8.3,0.7
Patan,557.3,506.7,Safe,High,Within Limit,Within Limit,7.96,1756,83.9,53.2,354,10.5,1.43
Mehsana,539.0,625.4,Safe,Moderate,Within Limit,Within Limit,7.39,561,76.8,26.3,224,13.7,0.79
Sabarkantha,729.6,729.1,Safe,Moderate,Above Limit,Within Limit,7.36,616,70.5,33.7,183,71.9,1.12
Aravalli,795.0,732.3,Safe,Moderate,Within Limit,Within Limit,7.87,655,80.5,38.2,250,5.7,0.41
Anand,741.2,728.4,Over-Exploited,Very High,Within Limit,Within Limit,8.29,3567,144.1,91.0,798,13.0,0.5
Kheda,727.6,742.7,Over-Exploited,Moderate,Above Limit,Within Limit,6.61,1185,98.7,31.7,365,105.1,0.46
Panchmahal,683.0,714.4,Safe,High,Within Limit,Above Limit,8.18,1549,66.4,60.7,400,18.4,3.5
Dahod,1002.7,969.7,Saline,Very High,Within Limit,Within Limit,7.83,3159,125.1,82.0,808,24.8,0.65
Bharuch,1105.8,1153.9,Over-Exploited,High,Above Limit,Within Limit,7.39,1811,118.7,56.4,361,54.9,0.46
Narmada,1045.3,1134.6,Over-Exploited,High,Within Limit,Within Limit,6.55,2982,182.4,90.6,813,19.1,0.95
Tapi,1788.6,1666.0,Saline,Very High,Above Limit,Within Limit,7.44,3301,122.1,77.2,860,49.5,1.14
Navsari,1539.1,1407.9,Safe,Moderate,Within Limit,Within Limit,7.39,899,70.2,60.3,351,10.8,1.02
Valsad,1543.8,1854.3,Critical,Moderate,Within Limit,Within Limit,7.74,549,90.0,45.9,245,30.2,0.54
Botad,721.6,661.6,Safe,Moderate,Within Limit,Within Limit,7.88,1258,99.3,54.1,450,19.6,0.47
Chhota Udaipur,989.0,1085.9,Semi-Critical,Moderate,Within Limit,Within Limit,7.34,534,54.8,33.4,32,23.7,0.8
Devbhoomi Dwarka,628.6,579.1,Safe,Moderate,Within Limit,Within Limit,6.76,1404,72.8,39.5,326,38.8,0.71
Gir Somnath,727.5,978.0,Safe,Moderate,Within Limit,Within Limit,6.9,1171,84.6,51.7,452,7.0,0.13
Morbi,724.2,589.2,Semi-Critical,High,Within Limit,Within Limit,7.48,1682,83.8,67.3,393,29.3,1.08
Porbandar,977.3,756.5,Safe,Moderate,Within Limit,Within Limit,7.2,1012,79.7,18.6,248,14.4,0.58
Mahisagar,867.1,961.7,Safe,High,Within Limit,Within Limit,7.4,1567,91.2,48.6,454,38.7,0.48
Surendranagar,544.3,567.1,Semi-Critical,Low,Within Limit,Within Limit,7.07,357,57.6,48.5,160,23.4,1.33
